rank,player_id,num_game,avg_pts_per_game,first_name,last_name,height_feet,height_inches,position,weight_pounds
0,192,92,35.59782608695652,James,Harden,6,5,G,220
1,115,93,27.365591397849464,Stephen,Curry,6,3,G,190
2,237,59,27.338983050847457,LeBron,James,6,8,F,250
3,172,85,27.19047619047619,Paul,George,6,9,F,220
4,274,88,27.13953488372093,Kawhi,Leonard,6,7,F,230
5,140,92,26.956521739130434,Kevin,Durant,6,9,F,240
6,145,78,26.07792207792208,Joel,Embiid,7,0,F-C,250
7,15,92,25.956521739130434,Giannis,Antetokounmpo,6,11,F,242
8,37,84,25.86904761904762,Bradley,Beal,6,5,G,207
9,465,82,25.865853658536587,Kemba,Walker,6,1,G,184
